url,type,price,currency,surface,rooms,bathrooms,yearBuilt,city,postalCode,description,terrace,terrace_area,garden,garden_area,equipped_kitchen,furnished,swimming_pool,kitchen_surface
https://immovlan.be/en/detail/residence/for-sale/1210/sint-joost-ten-node/vbc91818,residence,400 000,EUR,150²,5,,,sint-joost-ten-node,1210,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbt72879,residence,249 000,EUR,121²,3,1,,hoboken,2660,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3583/paal/rbt72854,residence,235 000,EUR,145²,3,1,,paal,3583,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbt72875,apartment,269 000,EUR,70²,2,1,,antwerp,2060,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4100/seraing/vbc91821,residence,179 000,EUR,140²,4,,,seraing,4100,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/6531/biesme-sous-thuin/vwd13937,residence,Makeofferfrom119 000,EUR,115²,2,,,biesme-sous-thuin,6531,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/8820/torhout/rbt72860,residence,349 000,EUR,165²,4,1,,torhout,8820,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9700/oudenaarde/rbt72859,residence,319 000,EUR,208²,3,,,oudenaarde,9700,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc91812,residence,524 999,EUR,122²,3,2,,brussels,1000,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3582/koersel/rbt72853,residence,439 000,EUR,190²,3,1,,koersel,3582,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/4100/seraing/vbc91792,apartment,159 000,EUR,75²,2,1,,seraing,4100,,,,,,,,,
https://immovlan.be/en/detail/mixed-building/for-sale/1080/sint-jans-molenbeek/vbc91806,mixed-building,440 000,EUR,240²,5,,,sint-jans-molenbeek,1080,,,,,,1,,,
https://immovlan.be/en/detail/master-house/for-sale/1200/sint-lambrechts-woluwe/vbc91800,master-house,1 350 000,EUR,236²,6,,,sint-lambrechts-woluwe,1200,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc91804,apartment,269 000,EUR,100²,2,,,vorst,1190,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/8310/sint-kruis/rbt72848,residence,348 800,EUR,214²,5,,,sint-kruis,8310,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/3500/hasselt/rbt72851,apartment,269 000,EUR,95²,3,1,,hasselt,3500,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91808,apartment,650 000,EUR,174²,3,1,,brussels,1000,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt72846,residence,320 000,EUR,131²,3,,,aalst,9300,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbc91805,apartment,Makeofferfrom149 000,EUR,62²,2,,,sint-jans-molenbeek,1080,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbc91809,apartment,225 000,EUR,88²,2,,,ganshoren,1083,,,,,,1,,,
https://immovlan.be/en/detail/master-house/for-sale/1030/schaarbeek/vbc91801,master-house,1 350 000,EUR,236²,6,,,schaarbeek,1030,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/7012/flenu/vbc91790,residence,Makeofferfrom159 000,EUR,80²,3,,,flenu,7012,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc91807,apartment,Makeofferfrom390 000,EUR,87²,2,,,vorst,1190,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/8930/menen/vbc91802,residence,335 000,EUR,,4,,,menen,8930,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc91799,apartment,295 000,EUR,72²,2,,,ukkel,1180,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc91810,residence,524 999,EUR,122²,3,2,,brussels,1000,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4101/jemeppe/vbc91791,residence,Makeofferfrom115 000,EUR,140²,4,,,jemeppe,4101,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/1770/liedekerke/rbt72847,residence,325 000,EUR,312²,5,,,liedekerke,1770,,,,,,0,,,
https://immovlan.be/en/detail/residence/for-sale/6830/bouillon/vbc91798,residence,199 000,EUR,119²,4,,,bouillon,6830,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/6150/anderlues/vbc91797,residence,Makeofferfrom99 000,EUR,164²,2,,,anderlues,6150,,,,,,0,,,
https://immovlan.be/en/detail/villa/for-sale/9690/kluisbergen/rbt72826,villa,545 000,EUR,215²,4,1,,kluisbergen,9690,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8433/mannekensvere/rbt72830,residence,249 000,EUR,,2,1,,mannekensvere,8433,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/7760/pottes/rbt72823,residence,298 000,EUR,150²,3,1,,pottes,7760,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8610/kortemark/rbt72843,residence,239 000,EUR,165²,3,1,,kortemark,8610,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72838,residence,499 000,EUR,185²,4,1,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbt72825,residence,405 000,EUR,156²,3,,,hoboken,2660,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72835,residence,439 000,EUR,181²,4,1,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/8530/harelbeke/rbt72822,apartment,189 000,EUR,69²,2,1,,harelbeke,8530,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72837,residence,499 000,EUR,185²,4,2,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72836,residence,449 000,EUR,180²,4,2,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8830/gits/rbt72821,residence,745 000,EUR,164²,3,1,,gits,8830,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9260/wichelen/rbt72829,residence,468 000,EUR,186²,3,,,wichelen,9260,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72840,residence,419 000,EUR,159²,3,1,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8540/deerlijk/rbt72824,residence,298 000,EUR,255²,4,1,,deerlijk,8540,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/7034/saint-denis/vbc91789,residence,220 000,EUR,266²,5,,,saint-denis,7034,,,,,,0,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72839,residence,419 000,EUR,159²,3,2,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8680/koekelare/rbt72842,residence,149 000,EUR,302²,4,1,,koekelare,8680,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72834,residence,469 000,EUR,172²,3,1,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8583/bossuit/rbt72827,residence,319 000,EUR,150²,3,1,,bossuit,8583,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8420/de-haan/rbt72841,residence,399 000,EUR,159²,3,2,,de-haan,8420,,,,,,,,,
https://immovlan.be/en/detail/master-house/for-sale/6010/couillet/vbc91771,master-house,Makeofferfrom499 000,EUR,335²,4,,,couillet,6010,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbc91773,apartment,Makeofferfrom210 000,EUR,67²,2,1,,schaarbeek,1030,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9870/zulte/rbt72814,residence,339 000,EUR,155²,3,,,zulte,9870,,,,,,,,,
https://immovlan.be/en/detail/villa/for-sale/3140/keerbergen/rbt72794,villa,779 000,EUR,293²,5,1,,keerbergen,3140,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbc91769,residence,Makeofferfrom89 000,EUR,80²,2,,,gilly,6060,,,,,,0,,,
https://immovlan.be/en/detail/residence/for-sale/2275/poederlee/rbt72811,residence,419 000,EUR,239²,3,1,,poederlee,2275,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt72803,apartment,219 000,EUR,58²,1,1,,turnhout,2300,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4042/liers/vbc91760,residence,120 000,EUR,105²,3,,,liers,4042,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbc91764,residence,990 000,EUR,264²,4,,,ukkel,1180,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91772,apartment,189 000,EUR,50²,1,1,,elsene,1050,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vwd13936,residence,Makeofferfrom175 000,EUR,131²,4,,,monceau-sur-sambre,6031,,,,,,1,,,
https://immovlan.be/en/detail/duplex/for-sale/1982/elewijt/rbt72807,duplex,410 000,EUR,120²,3,1,,elewijt,1982,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbt72792,apartment,249 000,EUR,85²,1,1,,deurne,2100,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1570/galmaarden/rbt72793,residence,330 000,EUR,,3,1,,galmaarden,1570,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4101/jemeppe/vbc91762,residence,Makeofferfrom225 000,EUR,140²,3,,,jemeppe,4101,,,,,,0,,,
https://immovlan.be/en/detail/residence/for-sale/2382/poppel/rbt72805,residence,249 000,EUR,228²,5,,,poppel,2382,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/8500/kortrijk/rbt72810,apartment,285 000,EUR,80²,2,1,,kortrijk,8500,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8900/ieper/rbt72802,residence,329 000,EUR,144²,3,1,,ieper,8900,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8580/avelgem/rbt72820,residence,265 000,EUR,130²,3,1,,avelgem,8580,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/5630/cerfontaine/vbc91770,residence,125 000,EUR,125000²,2,1,,cerfontaine,5630,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt72790,apartment,305 000,EUR,70²,1,,,halle,1500,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1030/schaarbeek/vbc91758,residence,790 000,EUR,200²,5,,,schaarbeek,1030,,,,,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72751,apartment,259 000,EUR,75²,1,1,,zandhoven,2240,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/6280/gerpinnes/vbc91754,residence,140 000,EUR,90²,4,1,,gerpinnes,6280,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72744,apartment,332 000,EUR,91²,2,1,,zandhoven,2240,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9900/eeklo/rwc39949,residence,Makeofferfrom115 000,EUR,120²,2,,,eeklo,9900,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4720/kelmis/vbc91753,residence,215 000,EUR,95²,3,1,,kelmis,4720,,,,1,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91757,apartment,438 000,EUR,116²,2,,,brussels,1000,,,,,,1,,,
https://immovlan.be/en/detail/residence/for-sale/6280/gerpinnes/vbc91755,residence,230 000,EUR,165²,3,1,,gerpinnes,6280,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2880/hingene/rbt72741,residence,449 000,EUR,157²,3,1,,hingene,2880,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72748,apartment,400 000,EUR,90²,1,1,,zandhoven,2240,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72743,apartment,279 000,EUR,80²,1,1,,zandhoven,2240,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72745,apartment,359 000,EUR,103²,2,1,,zandhoven,2240,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72747,apartment,321 000,EUR,85²,1,1,,zandhoven,2240,,,,,,,,,
https://immovlan.be/en/detail/penthouse/for-sale/2240/zandhoven/rbt72750,penthouse,362 000,EUR,96²,2,1,,zandhoven,2240,,,,,,,,,
https://immovlan.be/en/detail/villa/for-sale/9506/schendelbeke/rbt72766,villa,424 000,EUR,233²,3,1,,schendelbeke,9506,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4624/romsee/vbc91759,residence,370 000,EUR,180²,4,,,romsee,4624,,,,,,1,,,
