url,title,description,price,currency,rooms,bathrooms,postal_code,city,furnished
https://immovlan.be/en/detail/apartment/for-sale/1350/orp-le-grand/vbc88488,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc88512,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbc88499,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbc88409,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3070/kortenberg/rbt67763,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/bungalow/for-sale/5030/lonzee/vbc88347,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3070/kortenberg/rbt67766,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8791/beveren-leie/rbt67755,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc88266,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9940/evergem/rbt67762,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/villa/for-sale/7100/la-louviere/vbc88325,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4570/marchin/vbc88261,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3650/dilsen-stokkem/rbt67798,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8550/zwevegem/rbt67501,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/mixed-building/for-sale/6850/paliseul/vbc87783,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/5000/namur/vbc88148,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1340/ottignies-louvain-la-neuve/vbc87590,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8550/zwevegem/rbt67350,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/9270/laarne/rbt67134,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67551,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1348/louvain-la-neuve/vbc87693,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/ground-floor/for-sale/2650/edegem/rbt66872,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc88007,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
